scrape_time,display_date,display_time,current_value_MW,temperature_C
2025-05-11 19:54:14.752487,11-05-2025,19:54,0.0,0.0
2025-05-11 19:55:14.612514,11-05-2025,19:55,0.0,0.0
2025-05-11 19:56:14.619085,11-05-2025,19:56,0.0,0.0
2025-05-11 19:57:14.597293,11-05-2025,19:57,0.0,0.0
2025-05-11 19:58:14.586224,11-05-2025,19:58,0.0,0.0
2025-05-11 19:59:14.655628,11-05-2025,19:59,0.0,0.0
2025-05-11 20:00:14.611515,11-05-2025,20:00,0.0,0.0
2025-05-11 20:01:14.630896,11-05-2025,20:01,0.0,0.0
2025-05-11 20:02:14.635921,11-05-2025,20:02,0.0,0.0
2025-05-11 20:03:14.590648,11-05-2025,20:03,0.0,0.0
2025-05-11 20:04:14.551274,11-05-2025,20:04,0.0,0.0
2025-05-11 20:05:14.576820,11-05-2025,20:05,0.0,0.0
2025-05-11 20:06:14.605584,11-05-2025,20:06,0.0,0.0
2025-05-11 20:07:14.613659,11-05-2025,20:07,0.0,0.0
2025-05-11 20:08:14.624894,11-05-2025,20:08,0.0,0.0
